vendorid,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,ratecodeid,pulocationid,dolocationid,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2020-01-01T00:48:36.000,2020-01-01T00:52:50.000,N,1,7,179,1,0.85,5,0.5,0.5,1.26,0,0.3,7.56,1,1,0
2,2020-01-01T00:55:51.000,2020-01-01T01:31:58.000,N,1,179,173,1,5.48,24.5,0.5,0.5,0,0,0.3,25.8,2,1,0
2,2020-01-01T00:41:27.000,2020-01-01T00:57:51.000,N,1,181,89,1,3.44,14,0.5,0.5,0,0,0.3,15.3,2,1,0
2,2020-01-01T00:17:28.000,2020-01-01T00:27:14.000,N,1,255,255,1,0.78,7.5,0.5,0.5,1.76,0,0.3,10.56,1,1,0
2,2020-01-01T00:33:12.000,2020-01-01T00:37:42.000,N,1,112,112,1,1.01,5.5,0.5,0.5,1.7,0,0.3,8.5,1,1,0
2,2020-01-01T00:39:10.000,2020-01-01T00:47:21.000,N,1,112,256,1,1.77,8,0.5,0.5,0,0,0.3,9.3,2,1,0
2,2020-01-01T00:30:57.000,2020-01-01T00:56:07.000,N,1,25,223,1,9.95,31,0.5,0.5,8.08,0,0.3,40.38,1,1,0
2,2020-01-01T00:29:07.000,2020-01-01T00:45:41.000,N,1,97,89,1,2.44,13,0.5,0.5,5.08,0,0.3,19.38,1,1,0
2,2020-01-01T00:57:31.000,2020-01-01T01:16:39.000,N,1,181,256,1,4.68,18,0.5,0.5,3.86,0,0.3,23.16,1,1,0
2,2020-01-01T00:50:54.000,2020-01-01T01:16:15.000,N,1,188,79,1,5.66,21.5,0.5,0.5,6.39,0,0.3,31.94,1,1,2.75
2,2020-01-01T00:48:05.000,2020-01-01T00:56:25.000,N,1,41,42,5,1.18,7.5,0.5,0.5,1.76,0,0.3,10.56,1,1,0
2,2020-01-01T00:11:41.000,2020-01-01T00:30:10.000,N,1,181,61,1,3.41,15,0.5,0.5,4.89,0,0.3,21.19,1,1,0
2,2020-01-01T00:45:07.000,2020-01-01T01:06:22.000,N,1,17,226,1,6.04,21,0.5,0.5,4.46,0,0.3,28.71,1,1,0
1,2020-01-01T00:15:34.000,2020-01-01T00:24:05.000,N,1,181,97,1,0.80,7,0.5,0.5,1.65,0,0.3,9.95,1,1,0
2,2020-01-01T01:06:37.000,2020-01-01T01:14:02.000,N,1,49,97,2,1.38,7,0.5,0.5,0,0,0.3,8.3,2,1,0
1,2020-01-01T00:14:26.000,2020-01-01T00:34:34.000,N,1,255,4,1,3.00,15.5,3.25,0.5,4,0,0.3,23.55,1,1,2.75
