vendorid,lpep_pickup_datetime,lpep_dropoff_datetime,ratecodeid,pulocationid,dolocationid,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2021-01-02T11:58:42.000,2021-01-02T12:17:29.000,1,244,100,1,7.49,24.0,0.0,0.5,5.51,0.0,0.3,33.06,1,1,2.75
2,2021-01-02T11:48:32.000,2021-01-02T11:48:40.000,1,74,74,1,0.04,2.5,0.0,0.5,0.0,0.0,0.3,3.3,2,1,0.0
2,2021-01-02T11:02:05.000,2021-01-02T11:11:00.000,1,65,189,1,1.61,8.5,0.0,0.5,1.86,0.0,0.3,11.16,1,1,0.0
2,2021-01-02T11:23:22.000,2021-01-02T11:26:53.000,1,65,25,1,0.59,4.5,0.0,0.5,0.0,0.0,0.3,5.3,2,1,0.0
2,2021-01-02T11:23:19.000,2021-01-02T11:37:31.000,1,94,119,1,2.43,11.5,0.0,0.5,0.0,0.0,0.3,12.3,1,1,0.0
2,2021-01-02T11:43:12.000,2021-01-02T11:58:00.000,1,193,100,2,3.99,14.5,0.0,0.5,0.0,0.0,0.3,18.05,2,1,2.75
2,2021-01-02T11:39:12.000,2021-01-02T11:50:40.000,1,25,79,1,3.1,12.0,0.0,0.5,3.11,0.0,0.3,18.66,1,1,2.75
2,2021-01-02T11:30:02.000,2021-01-03T09:40:02.000,1,166,41,1,0.87,15.5,0.0,0.5,0.0,0.0,0.3,16.3,2,1,0.0
2,2021-01-02T11:14:07.000,2021-01-02T11:50:55.000,1,119,227,1,18.93,52.0,0.0,0.5,2.75,0.0,0.3,55.55,1,1,0.0
2,2021-01-02T11:54:08.000,2021-01-02T12:28:51.000,1,227,197,1,24.01,65.0,0.0,0.5,2.75,0.0,0.3,68.55,1,1,0.0
2,2021-01-02T11:11:27.000,2021-01-02T11:13:46.000,1,41,42,1,0.6,4.0,0.0,0.5,0.0,0.0,0.3,4.8,2,1,0.0
2,2021-01-02T11:33:00.000,2021-01-02T11:56:28.000,1,166,79,1,8.01,26.0,0.0,0.5,0.0,0.0,0.3,29.55,2,1,2.75
2,2021-01-02T11:30:47.000,2021-01-02T11:38:22.000,1,244,152,1,1.2,7.0,0.0,0.5,1.56,0.0,0.3,9.36,1,1,0.0
2,2021-01-02T11:48:49.000,2021-01-02T11:56:01.000,1,7,146,1,1.45,7.0,0.0,0.5,0.0,0.0,0.3,7.8,2,1,0.0
2,2021-01-02T11:59:48.000,2021-01-02T12:14:55.000,1,146,263,1,3.87,14.5,0.0,0.5,0.0,0.0,0.3,18.05,2,1,2.75
2,2021-01-02T11:06:18.000,2021-01-02T11:12:43.000,1,152,41,1,1.06,6.5,0.0,0.5,0.0,0.0,0.3,7.3,2,1,0.0
2,2021-01-02T11:48:04.000,2021-01-02T11:48:07.000,5,195,264,1,0.0,20.0,0.0,0.0,4.06,0.0,0.3,24.36,1,2,0.0
2,2021-01-02T11:54:40.000,2021-01-02T11:54:48.000,5,195,195,2,0.0,20.0,0.0,0.0,4.06,0.0,0.3,24.36,1,2,0.0
2,2021-01-02T11:55:39.000,2021-01-02T12:10:22.000,1,33,17,1,2.8,12.5,0.0,0.5,0.0,0.0,0.3,13.3,2,1,0.0
2,2021-01-02T11:53:45.000,2021-01-02T11:55:41.000,1,166,152,1,0.39,3.5,0.0,0.5,0.0,0.0,0.3,4.3,2,1,0.0
2,2021-01-02T11:19:47.000,2021-01-02T11:33:28.000,1,235,174,1,3.32,12.0,0.0,0.5,0.0,0.0,0.3,12.8,2,1,0.0
2,2021-01-02T11:31:48.000,2021-01-02T11:35:13.000,1,75,75,1,0.55,4.5,0.0,0.5,0.0,0.0,0.3,5.3,2,1,0.0
2,2021-01-02T11:05:42.000,2021-01-02T11:11:31.000,1,7,7,1,0.89,5.5,0.0,0.5,1.26,0.0,0.3,7.56,1,1,0.0
1,2021-01-02T11:13:00.000,2021-01-02T11:26:34.000,1,166,244,1,2.7,12.0,0.0,0.5,2.0,0.0,0.3,14.8,1,1,0.0
2,2021-01-02T11:36:41.000,2021-01-02T11:46:34.000,1,41,75,1,2.59,9.5,0.0,0.5,0.0,0.0,0.3,10.3,1,1,0.0
2,2021-01-02T11:46:32.000,2021-01-02T11:52:39.000,1,41,152,1,1.29,7.0,0.0,0.5,1.56,0.0,0.3,9.36,1,1,0.0
2,2021-01-02T11:36:26.000,2021-01-02T11:57:31.000,1,179,42,1,9.14,27.5,0.0,0.5,0.0,0.0,0.3,31.05,2,1,2.75
2,2021-01-02T11:51:05.000,2021-01-02T11:56:05.000,1,43,75,6,0.81,5.5,0.0,0.5,0.0,0.0,0.3,6.3,2,1,0.0
2,2021-01-02T11:22:22.000,2021-01-02T11:57:11.000,1,75,226,1,8.82,33.5,0.0,0.5,2.75,6.12,0.3,43.17,1,1,0.0
2,2021-01-02T11:25:53.000,2021-01-02T11:39:09.000,1,152,74,1,2.42,11.5,0.0,0.5,2.46,0.0,0.3,14.76,1,1,0.0
2,2021-01-02T11:50:22.000,2021-01-02T12:01:57.000,1,41,75,1,2.47,11.0,0.0,0.5,0.0,0.0,0.3,11.8,2,1,0.0
2,2021-01-02T11:15:10.000,2021-01-02T11:19:42.000,1,33,40,1,1.16,5.5,0.0,0.5,1.26,0.0,0.3,7.56,1,1,0.0
1,2021-01-02T11:10:16.000,2021-01-02T11:25:12.000,1,226,137,1,4.8,16.0,2.75,0.5,0.0,0.0,0.3,19.55,2,1,2.75
1,2021-01-02T11:40:35.000,2021-01-02T12:00:52.000,1,145,28,1,9.5,29.0,0.0,0.5,5.95,0.0,0.3,35.75,1,1,0.0
1,2021-01-02T11:34:28.000,2021-01-02T11:39:48.000,1,166,152,1,1.2,6.5,0.0,0.5,0.0,0.0,0.3,7.3,1,1,0.0
1,2021-01-02T11:46:12.000,2021-01-02T11:58:21.000,1,42,168,1,2.3,10.5,0.0,0.5,0.0,0.0,0.3,11.3,1,1,0.0
2,2021-01-02T11:32:23.000,2021-01-02T11:42:01.000,1,74,152,1,1.87,9.0,0.0,0.5,1.96,0.0,0.3,11.76,1,1,0.0
2,2021-01-02T11:40:09.000,2021-01-02T12:05:02.000,1,41,234,1,5.76,21.0,0.0,0.5,4.91,0.0,0.3,29.46,1,1,2.75
2,2021-01-02T11:51:59.000,2021-01-02T12:01:29.000,1,97,225,1,1.9,9.0,0.0,0.5,0.0,0.0,0.3,9.8,2,1,0.0
1,2021-01-02T11:08:44.000,2021-01-02T11:21:10.000,1,65,61,1,2.2,10.5,0.0,0.5,2.0,0.0,0.3,13.3,1,1,0.0
1,2021-01-02T11:51:34.000,2021-01-02T12:02:03.000,1,33,195,1,2.2,9.5,0.0,0.5,0.0,0.0,0.3,10.3,1,1,0.0
2,2021-01-02T11:24:55.000,2021-01-02T11:28:35.000,1,196,95,1,0.79,5.0,0.0,0.5,0.08,0.0,0.3,5.88,1,1,0.0
2,2021-01-02T10:34:55.000,2021-01-02T10:49:07.000,1,159,152,1,2.5,12.0,0.0,0.5,0.0,0.0,0.3,12.8,2,1,0.0
2,2021-01-02T09:31:43.000,2021-01-02T09:40:10.000,1,74,75,1,1.51,8.0,0.0,0.5,0.0,0.0,0.3,8.8,2,1,0.0
2,2021-01-02T11:23:16.000,2021-01-02T11:48:58.000,1,42,42,1,4.25,19.0,0.0,0.5,5.94,0.0,0.3,25.74,1,1,0.0
2,2021-01-02T11:58:13.000,2021-01-02T11:58:18.000,1,41,41,1,0.02,2.5,0.0,0.5,0.0,0.0,0.3,3.3,2,1,0.0
2,2021-01-02T11:43:12.000,2021-01-02T11:44:56.000,1,75,75,1,0.33,3.5,0.0,0.5,0.0,0.0,0.3,4.3,2,1,0.0
2,2021-01-02T11:52:52.000,2021-01-02T12:49:50.000,1,61,86,1,17.84,56.5,0.0,0.5,2.75,0.0,0.3,60.05,1,1,0.0
2,2021-01-02T11:54:29.000,2021-01-02T12:10:16.000,1,74,116,1,4.38,16.5,0.0,0.5,0.0,0.0,0.3,17.3,2,1,0.0
1,2021-01-02T11:59:30.000,2021-01-02T12:04:16.000,1,152,166,1,0.9,5.5,0.0,0.5,1.0,0.0,0.3,7.3,1,1,0.0
