vendorid,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,ratecodeid,pulocationid,dolocationid,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1,2021-01-02T09:41:06.000,2021-01-02T09:56:45.000,N,1,244,142,1,5.70,19,2.75,0.5,0,0,0.3,22.55,2,1,2.75
1,2021-01-02T09:22:14.000,2021-01-02T09:28:16.000,N,1,153,243,1,1.30,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,2021-01-02T09:22:36.000,2021-01-02T09:35:33.000,N,1,244,50,1,6.62,20,0,0.5,0,0,0.3,23.55,2,1,2.75
2,2021-01-02T09:07:47.000,2021-01-02T09:17:24.000,N,1,129,173,1,1.33,8,0,0.5,0,0,0.3,8.8,2,1,0
1,2021-01-02T09:42:55.000,2021-01-02T11:25:33.000,N,5,56,173,1,21.60,0,0,0,0,0,0,0,2,2,0
1,2021-01-02T09:13:05.000,2021-01-02T09:13:15.000,N,3,82,82,1,0.00,20,0,0,0,0,0.3,20.3,3,1,0
1,2021-01-02T09:13:56.000,2021-01-02T09:36:34.000,N,5,82,112,1,5.60,25,0,0,0,0,0,25,1,2,0
1,2021-01-02T09:39:41.000,2021-01-02T10:05:06.000,N,5,112,129,1,5.10,20,0,0,0,0,0,20,1,2,0
2,2021-01-02T09:54:51.000,2021-01-02T10:06:19.000,N,1,75,142,1,2.67,11,0,0.5,0,0,0.3,14.55,1,1,2.75
2,2021-01-02T09:52:25.000,2021-01-02T09:59:40.000,N,1,196,95,1,1.30,7,0,0.5,1.56,0,0.3,9.36,1,1,0
2,2021-01-02T09:42:27.000,2021-01-02T09:52:00.000,N,1,75,74,1,1.43,8,0,0.5,1.76,0,0.3,10.56,1,1,0
2,2021-01-02T09:25:37.000,2021-01-02T09:35:47.000,N,1,41,141,1,2.49,10,0,0.5,0,0,0.3,13.55,2,1,2.75
2,2021-01-02T09:05:07.000,2021-01-02T10:02:34.000,N,1,97,86,1,22.62,69,0,0.5,2.75,0,0.3,72.55,1,1,0
2,2021-01-02T09:19:16.000,2021-01-02T09:25:15.000,N,1,166,43,1,1.46,7,0,0.5,1.56,0,0.3,9.36,1,1,0
2,2021-01-02T09:52:43.000,2021-01-02T10:13:21.000,N,1,75,226,1,6.18,21,0,0.5,0,0,0.3,24.55,1,1,2.75
